algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
xgbLinear	FS	CC	TPR-TF	GPAV	0.0	-0.01044277618348151
xgbLinear	FS	CC	TPR-TF	HTD	0.0	0.03296931838656799
xgbLinear	FS	CC	ISO-TPR-TF	HTD	0.0	0.04458117195179589
xgbLinear	FS	CC	GPAV	HTD	0.0	0.04341209457004949
adaboost	PCA	CC	flat	TPR-TF	0.0	-0.029007956949753735
adaboost	PCA	CC	flat	ISO-TPR-TF	0.0	-0.032971012746361134
adaboost	PCA	CC	flat	GPAV	0.0	-0.034477971659549564
adaboost	PCA	CC	flat	HTD	0.0	0.007764907733452446
adaboost	PCA	CC	TPR-TF	ISO-TPR-TF	0.00045	-0.0039630557966073955
adaboost	PCA	CC	TPR-TF	GPAV	0.0	-0.00547001470979582
adaboost	PCA	CC	TPR-TF	HTD	0.0	0.03677286468320618
adaboost	PCA	CC	ISO-TPR-TF	GPAV	0.00526	-0.001506958913188426
adaboost	PCA	CC	ISO-TPR-TF	HTD	0.0	0.04073592047981358
adaboost	PCA	CC	GPAV	HTD	0.0	0.042242879393002024
C5.0	PCA	CC	flat	TPR-TF	0.0	-0.010369474635214265
C5.0	PCA	CC	flat	ISO-TPR-TF	0.0	0.0014297141865989111
C5.0	PCA	CC	flat	GPAV	0.0	-0.0009271653906722714
C5.0	PCA	CC	flat	HTD	0.0	-0.0042381928533311046
C5.0	PCA	CC	TPR-TF	ISO-TPR-TF	0.0	0.011799188821813172
C5.0	PCA	CC	TPR-TF	GPAV	0.0	0.009442309244541983
C5.0	PCA	CC	TPR-TF	HTD	0.0	0.006131281781883145
C5.0	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0023568795772711806
C5.0	PCA	CC	ISO-TPR-TF	HTD	0.0	-0.005667907039930013
C5.0	PCA	CC	GPAV	HTD	0.00399	-0.003311027462658834
glmnet	PCA	CC	ISO-TPR-TF	GPAV	0.00377	-6.27047451840046e-07
kknn	PCA	CC	flat	TPR-TF	0.0	-0.00678951828311806
kknn	PCA	CC	flat	ISO-TPR-TF	0.0	-0.004790846883998087
kknn	PCA	CC	flat	GPAV	0.0	-0.007292820123404012
kknn	PCA	CC	flat	HTD	2e-05	0.007355743209725269
kknn	PCA	CC	TPR-TF	ISO-TPR-TF	0.0009	0.001998671399119972
kknn	PCA	CC	TPR-TF	HTD	0.0	0.014145261492843331
kknn	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.002501973239405927
kknn	PCA	CC	ISO-TPR-TF	HTD	0.0	0.012146590093723358
kknn	PCA	CC	GPAV	HTD	0.0	0.014648563333129286
lda	PCA	CC	TPR-TF	ISO-TPR-TF	0.00021	0.0011484822378285211
lda	PCA	CC	TPR-TF	HTD	0.0	-0.0011350645668944915
lda	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0010133862905789628
lda	PCA	CC	ISO-TPR-TF	HTD	1e-05	-0.0022835468047230135
lda	PCA	CC	GPAV	HTD	0.00158	-0.00127016051414405
LogitBoost	PCA	CC	flat	TPR-TF	0.0	-0.01226261507544523
LogitBoost	PCA	CC	flat	ISO-TPR-TF	0.0	-0.016065156290453013
LogitBoost	PCA	CC	flat	GPAV	0.0	-0.01654846642533061
LogitBoost	PCA	CC	TPR-TF	GPAV	0.0	-0.00428585134988538
LogitBoost	PCA	CC	TPR-TF	HTD	0.0	0.012832403735253248
LogitBoost	PCA	CC	ISO-TPR-TF	GPAV	0.00194	-0.0004833101348775931
LogitBoost	PCA	CC	ISO-TPR-TF	HTD	0.0	0.016634944950261032
LogitBoost	PCA	CC	GPAV	HTD	0.0	0.017118255085138624
mlp	PCA	CC	flat	TPR-TF	0.0	-0.006938291980230583
mlp	PCA	CC	flat	ISO-TPR-TF	3e-05	0.011370794062782727
mlp	PCA	CC	flat	GPAV	0.00375	0.002191729715242775
mlp	PCA	CC	flat	HTD	0.0	-0.006410148755123392
mlp	PCA	CC	TPR-TF	ISO-TPR-TF	0.0	0.0183090860430133
mlp	PCA	CC	TPR-TF	GPAV	0.0	0.00913002169547336
mlp	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.009179064347539947
mlp	PCA	CC	ISO-TPR-TF	HTD	0.0	-0.017780942817906126
mlp	PCA	CC	GPAV	HTD	0.0	-0.00860187847036617
naive_bayes	PCA	CC	flat	HTD	0.0	-0.002293033319358041
naive_bayes	PCA	CC	TPR-TF	ISO-TPR-TF	0.0099	0.0011981030346036113
naive_bayes	PCA	CC	TPR-TF	GPAV	0.00196	0.0013476255992876936
naive_bayes	PCA	CC	TPR-TF	HTD	0.0	-0.002246697797983998
naive_bayes	PCA	CC	ISO-TPR-TF	HTD	2e-05	-0.0034448008325876065
naive_bayes	PCA	CC	GPAV	HTD	0.0	-0.003594323397271691
ranger	PCA	CC	flat	TPR-TF	0.0	-0.00468866808390595
ranger	PCA	CC	flat	ISO-TPR-TF	0.0	-0.004393728971818142
ranger	PCA	CC	flat	GPAV	0.0	-0.006091392905027192
ranger	PCA	CC	TPR-TF	HTD	0.0	0.010080078426826244
ranger	PCA	CC	ISO-TPR-TF	GPAV	0.0	-0.0016976639332090457
ranger	PCA	CC	ISO-TPR-TF	HTD	0.00062	0.009785139314738431
ranger	PCA	CC	GPAV	HTD	0.0	0.011482803247947482
svmLinear2	PCA	CC	flat	TPR-TF	0.00023	0.0024091199159511846
svmLinear2	PCA	CC	flat	ISO-TPR-TF	0.0	0.002916312374104109
svmLinear2	PCA	CC	flat	GPAV	0.0	0.0021245429915724796
svmLinear2	PCA	CC	flat	HTD	0.00488	0.00019283983189531318
