algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
ranger	PCA	BP	flat	HTD	0.0	0.012813460842827981
ranger	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.0022435215054235013
ranger	PCA	BP	TPR-TF	GPAV	0.0	0.0005639764880695587
ranger	PCA	BP	TPR-TF	HTD	0.0	0.03131503023557286
ranger	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.0016795450173539422
ranger	PCA	BP	ISO-TPR-TF	HTD	0.0	0.029071508730149374
ranger	PCA	BP	GPAV	HTD	0.0	0.03075105374750337
svmLinear2	PCA	BP	flat	TPR-TF	0.0	0.02135247857584239
svmLinear2	PCA	BP	flat	ISO-TPR-TF	0.0	0.046249547144029075
svmLinear2	PCA	BP	flat	GPAV	0.0	0.040868806674797906
svmLinear2	PCA	BP	flat	HTD	0.0	-0.050597064549372295
svmLinear2	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.024897068568186652
svmLinear2	PCA	BP	TPR-TF	GPAV	0.0	0.01951632809895546
svmLinear2	PCA	BP	TPR-TF	HTD	0.0	-0.07194954312521462
svmLinear2	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.005380740469231181
svmLinear2	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.0968466116934013
svmLinear2	PCA	BP	GPAV	HTD	0.0	-0.09146587122417012
treebag	PCA	BP	flat	TPR-TF	0.0	-0.032094927815900356
treebag	PCA	BP	flat	ISO-TPR-TF	0.0	-0.031002391018840454
treebag	PCA	BP	flat	GPAV	0.0	-0.03183648943032297
treebag	PCA	BP	flat	HTD	0.0	0.04259791451767425
treebag	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.001092536797059956
treebag	PCA	BP	TPR-TF	GPAV	0.0	0.0002584383855773759
treebag	PCA	BP	TPR-TF	HTD	0.0	0.07469284233357473
treebag	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.0008340984114825801
treebag	PCA	BP	ISO-TPR-TF	HTD	0.0	0.07360030553651457
treebag	PCA	BP	GPAV	HTD	0.0	0.07443440394799733
xgbLinear	PCA	BP	flat	TPR-TF	0.0	-0.055683592946057875
xgbLinear	PCA	BP	flat	ISO-TPR-TF	0.0	-0.039018755880557546
xgbLinear	PCA	BP	flat	GPAV	0.0	-0.04768409004637549
xgbLinear	PCA	BP	flat	HTD	0.0	-0.06573303920072371
xgbLinear	PCA	BP	TPR-TF	ISO-TPR-TF	0.0	0.016664837065500402
xgbLinear	PCA	BP	TPR-TF	GPAV	0.0	0.007999502899682456
xgbLinear	PCA	BP	TPR-TF	HTD	0.0	-0.010049446254665662
xgbLinear	PCA	BP	ISO-TPR-TF	GPAV	0.0	-0.008665334165817901
xgbLinear	PCA	BP	ISO-TPR-TF	HTD	0.0	-0.026714283320166003
xgbLinear	PCA	BP	GPAV	HTD	0.0	-0.018048949154348137
adaboost	FS	MF	flat	TPR-TF	0.0	-0.02948364444083568
adaboost	FS	MF	flat	ISO-TPR-TF	0.0	-0.04516682525175599
adaboost	FS	MF	flat	GPAV	0.0	-0.03752904092466097
adaboost	FS	MF	flat	HTD	0.0	0.08022272067287235
adaboost	FS	MF	TPR-TF	ISO-TPR-TF	0.0	-0.015683180810920315
adaboost	FS	MF	TPR-TF	GPAV	3e-05	-0.008045396483825299
adaboost	FS	MF	TPR-TF	HTD	0.0	0.10970636511370803
adaboost	FS	MF	ISO-TPR-TF	GPAV	1e-05	0.007637784327095024
adaboost	FS	MF	ISO-TPR-TF	HTD	0.0	0.12538954592462837
adaboost	FS	MF	GPAV	HTD	0.0	0.11775176159753335
C5.0	FS	MF	flat	TPR-TF	0.0	-0.08962392244993303
C5.0	FS	MF	flat	ISO-TPR-TF	0.0	-0.06476963697401397
C5.0	FS	MF	flat	GPAV	0.0	-0.0981804200722803
C5.0	FS	MF	flat	HTD	0.00015	-0.034630750438863094
C5.0	FS	MF	TPR-TF	ISO-TPR-TF	0.00011	0.02485428547591915
C5.0	FS	MF	TPR-TF	HTD	0.0	0.05499317201107002
C5.0	FS	MF	ISO-TPR-TF	GPAV	0.0	-0.03341078309826637
C5.0	FS	MF	ISO-TPR-TF	HTD	0.00083	0.030138886535150854
C5.0	FS	MF	GPAV	HTD	0.0	0.0635496696334172
glmnet	FS	MF	TPR-TF	HTD	0.00024	-0.014555847039127098
glmnet	FS	MF	ISO-TPR-TF	GPAV	0.00136	-0.006453995354520589
glmnet	FS	MF	ISO-TPR-TF	HTD	2e-05	-0.017926465120354944
glmnet	FS	MF	GPAV	HTD	0.00128	-0.011472469765834352
kknn	FS	MF	flat	TPR-TF	0.0	-0.026541171401986537
kknn	FS	MF	flat	ISO-TPR-TF	0.0	-0.02656764973717424
kknn	FS	MF	flat	GPAV	0.0	-0.026609578501189463
kknn	FS	MF	flat	HTD	0.0	0.06100961520284861
kknn	FS	MF	TPR-TF	HTD	0.0	0.08755078660483516
kknn	FS	MF	ISO-TPR-TF	GPAV	0.0	-4.1928764015225647e-05
kknn	FS	MF	ISO-TPR-TF	HTD	0.0	0.08757726494002285
kknn	FS	MF	GPAV	HTD	0.0	0.08761919370403805
lda	FS	MF	flat	TPR-TF	0.0	-0.016168879976862685
lda	FS	MF	flat	ISO-TPR-TF	0.0	-0.016169796869321237
lda	FS	MF	flat	GPAV	0.0	-0.016219720044238894
lda	FS	MF	TPR-TF	GPAV	0.00192	-5.084006737620676e-05
lda	FS	MF	TPR-TF	HTD	0.0	0.023901914899881794
lda	FS	MF	ISO-TPR-TF	HTD	0.0	0.02390283179234033
lda	FS	MF	GPAV	HTD	0.0	0.023952754967257982
LogitBoost	FS	MF	flat	TPR-TF	0.0	-0.03707529842929722
LogitBoost	FS	MF	flat	ISO-TPR-TF	0.0	-0.03798383787082375
LogitBoost	FS	MF	flat	GPAV	0.0	-0.03802520795593667
LogitBoost	FS	MF	flat	HTD	0.0	0.037125922554599664
LogitBoost	FS	MF	TPR-TF	HTD	0.0	0.07420122098389687
LogitBoost	FS	MF	ISO-TPR-TF	HTD	0.0	0.07510976042542337
LogitBoost	FS	MF	GPAV	HTD	0.0	0.07515113051053632
mlp	FS	MF	flat	TPR-TF	0.0	-0.03522487104408399
mlp	FS	MF	flat	ISO-TPR-TF	0.0	-0.026748875011350898
mlp	FS	MF	flat	GPAV	0.0	-0.03163907618271724
mlp	FS	MF	flat	HTD	0.0	0.037303132424490563
mlp	FS	MF	TPR-TF	ISO-TPR-TF	0.00157	0.00847599603273311
mlp	FS	MF	TPR-TF	HTD	0.0	0.07252800346857452
mlp	FS	MF	ISO-TPR-TF	GPAV	6e-05	-0.004890201171366342
mlp	FS	MF	ISO-TPR-TF	HTD	0.0	0.06405200743584144
mlp	FS	MF	GPAV	HTD	0.0	0.06894220860720773
naive_bayes	FS	MF	flat	TPR-TF	0.0	-0.015885815946181242
naive_bayes	FS	MF	flat	ISO-TPR-TF	0.0	-0.01656336041144754
naive_bayes	FS	MF	flat	GPAV	0.0	-0.016731989417243333
naive_bayes	FS	MF	TPR-TF	ISO-TPR-TF	0.0	-0.0006775444652663104
naive_bayes	FS	MF	TPR-TF	GPAV	0.0	-0.0008461734710620976
naive_bayes	FS	MF	TPR-TF	HTD	0.0	0.022629779206974496
naive_bayes	FS	MF	ISO-TPR-TF	HTD	0.0	0.0233073236722408
naive_bayes	FS	MF	GPAV	HTD	0.0	0.023475952678036583
ranger	FS	MF	flat	TPR-TF	0.0	-0.019441188741913456
ranger	FS	MF	flat	ISO-TPR-TF	0.0	-0.020482233173092185
ranger	FS	MF	flat	GPAV	0.0	-0.020516163220750352
ranger	FS	MF	flat	HTD	0.00133	0.01715599305061149
ranger	FS	MF	TPR-TF	HTD	0.0	0.03659718179252496
ranger	FS	MF	ISO-TPR-TF	GPAV	0.00163	-3.3930047658179536e-05
ranger	FS	MF	ISO-TPR-TF	HTD	0.0	0.03763822622370367
ranger	FS	MF	GPAV	HTD	0.0	0.03767215627136184
svmLinear2	FS	MF	flat	TPR-TF	0.0	-0.049068317855196025
svmLinear2	FS	MF	flat	ISO-TPR-TF	0.0	-0.052732662491893845
svmLinear2	FS	MF	flat	GPAV	0.0	-0.05037316782414672
svmLinear2	FS	MF	flat	HTD	0.0	0.03211446666315386
svmLinear2	FS	MF	TPR-TF	ISO-TPR-TF	0.00272	-0.003664344636697796
svmLinear2	FS	MF	TPR-TF	HTD	0.0	0.0811827845183499
svmLinear2	FS	MF	ISO-TPR-TF	GPAV	0.00181	0.002359494667747071
svmLinear2	FS	MF	ISO-TPR-TF	HTD	0.0	0.08484712915504765
svmLinear2	FS	MF	GPAV	HTD	0.0	0.08248763448730059
treebag	FS	MF	flat	TPR-TF	0.0	-0.030352068131995022
treebag	FS	MF	flat	ISO-TPR-TF	0.0	-0.030258409440446367
treebag	FS	MF	flat	GPAV	0.0	-0.030364718305034497
treebag	FS	MF	flat	HTD	0.0	0.06869775675254526
treebag	FS	MF	TPR-TF	ISO-TPR-TF	0.0	9.365869154867515e-05
treebag	FS	MF	TPR-TF	HTD	0.0	0.09904982488454019
treebag	FS	MF	ISO-TPR-TF	GPAV	0.0	-0.00010630886458815423
treebag	FS	MF	ISO-TPR-TF	HTD	0.0	0.0989561661929915
treebag	FS	MF	GPAV	HTD	0.0	0.09906247505757974
xgbLinear	FS	MF	flat	TPR-TF	0.0	-0.03133181949947959
xgbLinear	FS	MF	flat	ISO-TPR-TF	0.0	-0.03349850522700068
xgbLinear	FS	MF	flat	GPAV	0.0	-0.03402016009135022
xgbLinear	FS	MF	TPR-TF	HTD	0.0	0.037329954703379964
xgbLinear	FS	MF	ISO-TPR-TF	HTD	0.0	0.039496640430901134
xgbLinear	FS	MF	GPAV	HTD	0.0	0.04001829529525065
adaboost	PCA	MF	flat	TPR-TF	0.0	-0.03698650486707847
adaboost	PCA	MF	flat	ISO-TPR-TF	0.0	-0.0372215867143233
adaboost	PCA	MF	flat	GPAV	0.0	-0.03744668153338098
adaboost	PCA	MF	flat	HTD	0.0	0.07008302711205926
adaboost	PCA	MF	TPR-TF	GPAV	1e-05	-0.00046017666630250456
adaboost	PCA	MF	TPR-TF	HTD	0.0	0.10706953197913768
adaboost	PCA	MF	ISO-TPR-TF	GPAV	0.00098	-0.0002250948190576831
adaboost	PCA	MF	ISO-TPR-TF	HTD	0.0	0.10730461382638254
adaboost	PCA	MF	GPAV	HTD	0.0	0.10752970864544013
C5.0	PCA	MF	flat	TPR-TF	0.0	-0.043326567888795284
C5.0	PCA	MF	flat	GPAV	0.00515	-0.017905665719571855
C5.0	PCA	MF	flat	HTD	0.0	-0.07089101536857761
C5.0	PCA	MF	TPR-TF	ISO-TPR-TF	0.0	0.035287025911816865
C5.0	PCA	MF	TPR-TF	GPAV	1e-05	0.02542090216922345
C5.0	PCA	MF	TPR-TF	HTD	6e-05	-0.0275644474797823
C5.0	PCA	MF	ISO-TPR-TF	GPAV	0.00239	-0.00986612374259345
C5.0	PCA	MF	ISO-TPR-TF	HTD	0.0	-0.06285147339159916
C5.0	PCA	MF	GPAV	HTD	0.0	-0.05298534964900568
glmnet	PCA	MF	flat	TPR-TF	0.0	0.01466414291895704
glmnet	PCA	MF	flat	ISO-TPR-TF	0.0	0.015123390706244043
glmnet	PCA	MF	flat	GPAV	0.0	0.013198820645675634
glmnet	PCA	MF	flat	HTD	1e-05	0.00888276250797982
glmnet	PCA	MF	TPR-TF	HTD	0.00098	-0.005781380410977205
glmnet	PCA	MF	ISO-TPR-TF	HTD	0.00053	-0.006240628198264216
kknn	PCA	MF	flat	TPR-TF	0.0	-0.012239005459614443
kknn	PCA	MF	flat	ISO-TPR-TF	0.0	-0.012259843138458541
kknn	PCA	MF	flat	GPAV	0.0	-0.012267124057390066
kknn	PCA	MF	flat	HTD	0.0	0.0293328764240615
kknn	PCA	MF	TPR-TF	GPAV	0.0059	-2.8118597775628196e-05
kknn	PCA	MF	TPR-TF	HTD	0.0	0.04157188188367594
kknn	PCA	MF	ISO-TPR-TF	HTD	0.0	0.04159271956252006
kknn	PCA	MF	GPAV	HTD	0.0	0.041600000481451564
lda	PCA	MF	ISO-TPR-TF	GPAV	0.00016	-0.0013630665151682692
LogitBoost	PCA	MF	flat	TPR-TF	0.0	-0.02840916070629266
LogitBoost	PCA	MF	flat	ISO-TPR-TF	0.0	-0.02785144625192431
LogitBoost	PCA	MF	flat	GPAV	0.0	-0.028753664356224663
LogitBoost	PCA	MF	flat	HTD	0.0	-0.011825317662260764
LogitBoost	PCA	MF	TPR-TF	HTD	0.0	0.01658384304403188
LogitBoost	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.0009022181043003402
LogitBoost	PCA	MF	ISO-TPR-TF	HTD	0.0	0.01602612858966355
LogitBoost	PCA	MF	GPAV	HTD	0.0	0.016928346693963897
mlp	PCA	MF	flat	TPR-TF	0.0	-0.06990996327274765
mlp	PCA	MF	flat	GPAV	0.00292	-0.028428343465821532
mlp	PCA	MF	flat	HTD	0.0	-0.11871100540447532
mlp	PCA	MF	TPR-TF	ISO-TPR-TF	0.0	0.09177349544219841
mlp	PCA	MF	TPR-TF	GPAV	0.0	0.0414816198069261
mlp	PCA	MF	TPR-TF	HTD	0.0	-0.04880104213172778
mlp	PCA	MF	ISO-TPR-TF	GPAV	0.0	-0.050291875635272355
mlp	PCA	MF	ISO-TPR-TF	HTD	0.0	-0.14057453757392624
